n,param,mean_H0,var_H0,mean_H1,var_H1,threshold,power
50,25,2348.102,12151.435596,2556.928,24713.370816,2550.0,0.48
100,25,4517.77,96926.34109999999,5184.996,82312.663984,5057.0,0.678
200,25,10252.36,118046.49440000001,11119.976,123229.227424,10771.0,0.834
500,25,28860.138,240426.38295599996,29633.144,280727.755264,29615.0,0.524
